,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings2,ratings3,comment,helpful
0,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,자유롭고정의로운진리,3,2,5,4,"타과생으로서 정말 최고의 수업이었습니다. 교수님께서 매우 친절하시고 학생들을 생각해주시기 때문에 시험전 정리나 보강, 질문시간도 잘 챙기면 많이 배워갈 수 있습니다. 시험문제는 전체적으로 매우 평이하나 킬러 문제가 하나씩 있는데 이것도 침착하게 잘 생각해보면 답이 나옵니다. 수업으로 한 판서를 꼼꼼하게(라는 것은 정말 토씨 하나까지) 다 외우면 풀 수도 있는데 개인적으로는 이해를 통해서 외웠고 이게 킬러문제를 푸는데도 꽤 도움이 됐던 것 같습니다. 교과서도 읽는 것을 권장합니다. 전술했듯 판서를 외우는 것으로 충분은 하나 배운것을 더 쉽고 깊게 이해하는데에 교과서가 많은 도움이 됩니다. 아쉬운 점이라면 코딩같이 직접적으로 구현하는 부분이 없었다는 점인데, 그렇다고 완전히 무시하셔도 곤란합니다. 시험에 답의 일부로 의사코드를 적는 부분이 나올 수 있기 때문에 수업시간에 언급된 부분이면 알아두고 가시는게 좋습니다. 또한, 박성빈 교수님 특유의 판서만으로 이루어지는 수업에 처음에는 당황하실 수도 있는데 이것도 익숙해지면 오히려 이게 더 좋다고 느끼게 됩니다. 타블릿이나 공책이 필수입니다. 

출석체크는 간간이 3~4번 정도 한 걸로 기억하는데 그냥 수업 다 나가세요. 교수님 판서가 곧 교재라서 안들으면 본인 손해입니다.

난이도는 몇몇 부분은 좀 어려웠는데 이것도 시간 두고 이해해보려고 하면 곧 이해되는 것들이라 전체적으로 쉬웠습니다. 시험문제가 앞서 말했듯 킬러 한두개가 있을 수 있으니 교재를 읽든 배운 주제들에 대해 개인적으로 검색을 미리 해둬서 추가적인 지식을 쌓든 이에 대해 대비만 좀 하면 됩니다.

학습량은 중간고사때는 그리 많지 않았고, 기말고사때는 좀 여러 주제를 다루다보니 이를 통합하는데에 여유시간이 좀 필요했습니다. 중간고사땐 각종 sorting 기법과 이들의 특징, 그리고 마지막에 간략하게 hash table에 대해 나갔습니다. 기말고사때는 dynamic programming, greedy algorithm, reduction, graph와 중간고사 마지막에 다뤘던 hash table/chaining의 나머지 내용들을 다루고 끝났습니다. 아무리 못해도 한 2주 전부터 조금씩 공부를 들어가서 첫주에는 내용을 다 훑고 두번째 주부터 이해 못한 부분을 이해하고 질문하는 시간을 가지시는게 좋습니다. 그리고 시험 직전 수업에서는 항상 범위에 대해 정리를 해주시니 꼭 빠지지 말고 들으시는것을 권합니다.

학점은 갓성빈 교수님의 명성답게 잘주십니다. 전부 +은 붙여주시는 것 같습니다. 중간고사는 쉬워서 다들 잘 보셨는데 3사분위수 턱걸이였고 기말고사는 개인적으로 예상하지 못한 문제+안외워서 당황했다가 기억나는대로 쓰고 나와서 체크하니 맞았던 코딩문제까지 풀어서 A+ 받았습니다.

성취감은 알고리즘의 전체적인 상(image)을 많이 본 것 같아 매우 만족합니다만, 아무래도 코딩테스트나 구현을 하는데에 있어서는 좀 부족한 것이 사실입니다. 이론 위주의 수업이었고 추후 개인적으로 공부가 더 필요한 수업이었다는 것은 참고하시길 바랍니다.",도움이 돼요 2
1,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,kinghonger,4,4,4,3,출석은 가끔하고 과제가 3번? 4번 있습니다 내용이 어렵지만 학점을 잘 주시는 교수님.,도움이 돼요 1
2,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,별난거북거북,4,4,3,5,갓성빈 교수님께서 갓성빈하시는 수업입니다. 말이 더 필요하겠습니까. 감사합니다 교수님 다음 학기에 다른 수업으로 뵙겠습니다.,도움이 돼요 0
3,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,kmkm,3,2,4,2,타 알고리즘 강의에 비해 쉽게 설명하고 시험문제도 쉬운편,도움이 돼요 0
4,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,뀩뀨,4,4,5,4,"교수님께서 강의 하시는 거 꼼꼼히 필기하고, 시험 때 교재 참고해서 잘 외우기만 하면 성적 잘 받습니다. 이번에는 중간고사가 너무 쉬워서 중간고사 때 a컷 안에 못 들었었는데, 기말고사 때 갑자기 어렵게 나와서 안전하게 에이쁠 받았네요.  원래도 친절하셨지만, 이번에 유독 교수님께서 타과 학생들을 위한 수업이라고 차근차근 잘 해주신 것 같아요. 내용의 차이도 있겠지만 이전 학기에 들었던 이산수학보다는 공부하기 조금 수월했습니다. 수업 때에는 강의 내용이 많이 버거울 수도 있는데, 시험 전에 Q&A 세션 열면 질문 없어도 꼭 가셔서 설명해 주시는 거 잘 듣고, 공부하다 궁금한 거 있으면 구글링도 해보고 교수님께 메일도 보내면서(너무 자주 보내면 학생이 많다 보니 교수님께서 힘들어 하십니다ㅠㅠ) 따라가면 큰 무리 없이 시험 볼 수 있을 겁니다.",도움이 돼요 0
5,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,피카피카추,3,4,5,4,"교수님께서 영어원서를 수업 교재로 사용하시긴 하지만, 주로 필기를 시험내용으로 출제하세요.
평가기준은 중간고사+기말고사+숙제+출석체크입니다.
중간고사와 기말고사 모두 필기를 기반으로한 서술형문제입니다. 4-5문제로 이루어져있습니다. 중간고사때에는 주로 각종 소트 알고리즘, 해시 함수를 배웠고 기말고사는 다이내믹 프로그래밍,그리디 알고리즘, 메트로이드, BFS등등을 배웠습니다. 
숙제는 주로 영어원서에 나오는 내용을 요약하라고 하십니다. 그런데 점수에도 반영이 잘 안되는 것 같고, 쉽게쉽게 풀 수 있는 문제들입니다.
출석체크는 학기초에 임의로 하셨어요.
학점을 매우 잘 주셔서 저도 문과생이지만 하루전에 필기 정리하고 암기하고, 중간고사와 기말고사에 최대한 암기한 내용 다 적고 제출하니 A+이 나왔습니다!",도움이 돼요 0
6,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),5,N수강,4,4,4,5,"정말 출석체크 보기 드물게 전체 수업중 3번이내에 꼽고
주로 판서로 수업 진행하시는데 노베이스 상태라면 따로 복습 열심히 더 하셔야 다음 진도 따라가는데 문제 없을것같습니다. 시험문제는 생각보다 전체적인것 중에서 몇파트 골라서 나왔기에 전체적으로 다 훑는것보다 전체적으로 자세하게 공부해놓는게 좋습니다.",도움이 돼요 0
7,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),4,0대생,3,3,3,3,"내용 설명이 좀 늘어진다는 생각이 들고...
시험 답안에는 교수님이 언급한 모든 것을 적어야 점수 주심.",도움이 돼요 0
8,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,라이토,3,3,4,2,출석체크는 1/4정도 하신 것 같습니다. 난이도와 학습량이 그렇게 많지는 않은데 교수님이 의식의 흐름대로 가르치셔서 꼭 수업을 들어야합니다. 책으로만 공부하기에는 교수님이 가르치시는 것만 가르쳐서 무리가 있습니다. 코딩을 필요로 하지 않고 이론만 가르치십니다. 학점은 생각보다 잘 주셨습니다. 듣고 생각 나는게 없는 강의인 것 같습니다.,도움이 돼요 0
9,19-2,COSE214,알고리즘(영강),박성빈,#월(6) 수(6),3,jhcm,3,3,1,3,"학점을 잘 주시는 교수님이라고 소문나 있어 수강하였는데 이번에는 짜게 주셨습니다.
이번에 150명정도 수강하고 영강이라 잘 주실 줄 알았는데 안타깝네요ㅠㅠ
A / B / C 비율로 각각 30 30 40 정도 주셨습니다.",도움이 돼요 0
