,Unnamed: 0,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings2,ratings3,comment,helpful,ratings4
0,0,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,상승형곡선,2,2,4,5,"코로나임에도 불구하고 최대한 학생들과 소통하시려고 노력하시는 참교수님이십니다.
개인적으론 강의 인원이 더 적었다면, 더 많은걸 배울 수 있었을거같아요. 이런 교수님들이 많으셨으면 해요.

강의는 OS에 대해 배우는데 교수님만의 개념으로 설명해주십니다. 그리고 학생들에게 질문을 많이하셔서 코로나라 비대면으로 강의하는데도 계속 댓글을 확인하시면서 소통하세요. 학생들이 너무 대답이 없으면 서운해하시기도 합니다.
OS에 대해선 깊게 배우진 않아요. 과제도, 수업 내용도 다 평이한 수준이고 원래 커리큘럼이 그런진 몰라도 강의량도 많이 않은 느낌? OS라는 방대한 과목을 가르치기엔 한학기가 너무 짧아 어쩔 수 없이 일부분만 가르치신것같아요.
과제는 수업때 집중잘했으면 어렵지 않게 할 수 있어요. 오래걸리지만 그게 어려워서그런게 아니라 그냥 컴파일이 오래 걸리고, 느려서 그런거라 컴파일 돌려놓고 그시간에 다른공부하시면 됩니다.",도움이 돼요 1,1
1,1,20-1,COSE341,운영체제,유혁,#화(6) 목(6),3,하락형곡선,2,3,4,2,"<2020-1 코로나 시기에 작성된 강의평가입니다>

큼지막한 과제가 총 2개(1차, 2차과제)가 나오는데 그게 성적의 50%를 차지합니다. 근데 정말 쉽습니다. 여기에서 점수 깎이면 정말 타격이 큽니다...

장단점이 명확한 수업 방식입니다. 질문을 정말 잘 받아주십니다. '이러이러한 부분을 다시 설명해 주실 수 있나요?'와 같은 질문을 하면 다시 설명해 주십니다. 수업 내용을 기준으로 확장되는 내용도 질문하면 설명 잘해 주십니다. 근데 이것때문에 수업 흐름이 진짜 자주 끊깁니다. 별 의미 없어보이는 질문들도 정말 많기 때문입니다. 본인이 질문을 많이 한다면 좋은 수업일텐데, 그정도는 아니었던 저는 다른 사람들 질문 때문에 수업에 집중이 안 되는 느낌을 많이 받았습니다. 

과제가 쉽고, 시험도 오픈북이기 때문에 학습 부담은 적습니다. 전필인 운영체제를 이정도로만 배우고 공부해도 되나 싶긴 했습니다.",도움이 돼요 1,1
2,2,20-1,COSE341,운영체제,유혁,#화(6) 목(6),4,lalalala,4,3,4,4,"배우는 내용들을 잘 엮어서 설명해주십니다
암기보다는 이해를 중요시하시는데, 그것이 시험에서도 그대로 드러납니다
기출문제를 참고해서 문제 스타일을 파악하시면 좋을 듯합니다
한학기 동안 운영체제의 전체적인 모습을 그려나갈 수 있는 수업이었습니다.",도움이 돼요 1,2
3,3,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,김해경,4,4,3,4,"교수님이 정말 따뜻하시고 그 어떤 질문에도 친절하고 상세하게 답해주십니다. 매번 질문을 드릴 때마다 교수님의 지식의 깊이에 감탄하고 갑니다... 과제는 0차, 1차, 2차 과제가 있었는데 어렵지는 않았어요. 대신에 수시과제가 있는데 교수님께서 수업 진행하시는 중간에 과제를 즉석에서 내십니다. 이 수시과제를 이용한 평가는 진행하지 않으신 것 같기도 하지만 평소에 생각해볼 거리, 시험 문제와 비슷하게 다양한 개념을 연관지어서 생각할 수 있는 기회를 제공해주시는 것 같아 좋았습니다. 다만 학점은 다른 과목들처럼 코로나 학점으로 막 후하게 주신 것 같진 않아요... 그냥 평소처럼 주신 것 같습니다.",도움이 돼요 0,5
4,4,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,9minem,3,4,4,4,시험은 조금 어렵긴하지만 정말 재밌어요!,도움이 돼요 0,3
5,5,20-1,COSE341,운영체제,유혁,#화(6) 목(6),4,yuyi,4,4,4,4,"강의 내용은 다소 어려울 수 있지만 교수님께서 친절하시고 학점 잘 주십니다
교수님 께서 말씀하신 것들 위주로 공부하면 시험 잘 보실 수 있어요",도움이 돼요 0,5
6,6,20-1,COSE341,운영체제,유혁,#화(6) 목(6),4,펌핑레마,2,3,5,3,중간에 강의 내용 놓치면 조금 힘드니 정신차리고 수업 들어야돼요 대신 학점 매우 매우 매우 후하게 주시니 마음놓고 공부하시면 됩니다,도움이 돼요 0,3
7,7,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,키이스트,4,2,4,5,강의가 대단히 체계적이며 교수의 강의력이 대단히 우수하고 수업 중 질문을 장려하여 학생들은 의문점을 즉각적이고 상세하게 해결할 수 있습니다. 과제와 시험을 같은 비율로 반영하지만 과제는 매뉴얼을 따라하기만 하면 해결할 수 있는 수준으로 제공되며 시험은 오픈북이고 기출문제가 제공되는데다 출제 유형이 기출문제에서 크게 벗어나지 않으므로 시험에 대한 부담이 높은 편은 아닙니다. 오픈북 시험의 특성상 학생의 지식이 부족하면 시간이 부족하기 때문에 충분한 공부를 바탕으로 다소 순발력을 발휘해야 좋은 성적을 받을 수 있기는 하지만 그 정도가 평소에 수업을 열심히 들었다면 크게 문제가 되지 않는 정도입니다.,도움이 돼요 0,3
8,8,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,봄이오면,4,4,1,4,교수님 질문 잘 받아주시고 친절합니다. 하지만 학점 A+은 짜게 주시는 것 같습니다. 코로나로 인해 중간 없이 기말 한방이었는데 오픈북이어도 잘 못 풉니다. 물론 잘 푼 분들도 계시겠지만 열심히 하시면 좋은 결과 있을 겁니다. 공부는 동기화부분부터 조금 어려워졌습니다.,도움이 돼요 0,3
9,9,20-1,COSE341,운영체제,유혁,#화(6) 목(6),5,참깨스틱1,4,4,4,5,"정말 많은 것을 배운 강의입니다.
바닥부터 차근차근 탑을 쌓는 느낌입니다.
텀프 2개에 수시과제가 있습니다.
시험은 오픈북입니다.",도움이 돼요 0,2
