,year,type,subject,professor,day,satisfy,writer,ratings0,ratings1,ratings4,ratings3,comment,helpful,ratings2
0,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),3,whgustjd,4,4,5,3,거의 매 주마다 수업 내용 정리와 몇 개의 예제를 푸는 과제를 내주십니다. 과제 자체는 문제를 틀려도 제출만 잘하면 만점을 다 주셨습니다. 이런 과제 때문에 자연스럽게 수업 대충 못 듣게 돼서 강제 공부가 되긴 합니다... 강의력은 좋으셨습니다. 열심히 듣고 과제 열심히 하면 자연스럽게 공부가 돼서 좋을 수도? 있습니다.이 강의를 추천!,도움이 돼요 0,3.0
1,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),5,구구피,4,3,5,5,판서 수업을 해서 집중이 잘 된다는 점이 가장 좋았다. 매주 있는 과제가 부담이 될 수도 있지만 성적에 큰 영향이 있는 부분도 아니어서 도움 되는 부분이 더 컸다.이 강의를 추천!,도움이 돼요 0,5.0
2,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),3,ukva,5,4,4,1,이번 학기에 미적분학및연습 2 공과대학 기계공학부 21학번 이경화 교수님 수업을 들었습니다. 학점은 기대이하고 출석은 매번했습니다. 교수님 좋아요. 매주 퀴즈 있어요. 굳,도움이 돼요 0,1.0
3,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),3,쿠쿠쿠욱,4,4,4,3,"교수님은 정말 좋은 분 같습니다.

수업이 굉장히 열정적이시고, 또 쉽게 가르쳐주십니다.

사실 기공 특정 학번만 듣는 강의겠지만 그래도 강의평을 좀 적어보면, 매주 과제를 내주십니다. 

물론 어렵거나 오래 걸리는 과제는 아니고, 점수도 굉장히 후하게 주십니다.

하지만 미적 과목 특성상 학점은 따기 어려웠습니다...",도움이 돼요 0,1.0
4,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),5,뚬뚭,5,5,5,5,"교수님이 그저 빛이다. 매 수업시간 초반에 저번 수업의 복습을 해주시고, 시험 직전에 모든 범위 리뷰를 해주시는 갓 교수님. 물론 그거 믿고 공부 안하면 성적이 암담해진다. 보다보면 귀여우시다.이 강의를 추천!",도움이 돼요 0,3.0
5,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),5,ocm0928,4,3,4,4,교수님 정말 착하시요 ! 수업도 정말 재밌고 다시 듣는다면 꼭 이 강의를 듣고 싶습니다 !!,도움이 돼요 0,5.0
6,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),5,ㅇㅇㅅㅇㅇ,5,3,5,5,"강의 구성이 알차고 전달력이 매우 좋습니다!
매주 강제복습 과제가 있는데, 정말 귀찮지만 그것만 하면 퀴즈랑 중간 기말 공부하는데 도움이 많이 돼서 매번 감사함을 느꼈습니다.
수업 시작이랑 중간 쉬는시간 끝나면 출책 하시는데 종종 탈주하는 학생들 적발하는 재미가 있습니다.
학점은 교수님이랑 관계가 없는 강의지만 평쁠이어도 A는 받기 힘든 듯 합니다..이 강의를 추천!",도움이 돼요 0,1.0
7,21-2,MATH162,미적분학및연습II공과대학 기계공학부 '21학번 (665 ~ 728),이경화,#화(4-5) 목(5),5,oyester,5,3,5,5,강의력 만큼은 최고이십니다. 과제를 매주 내주는데 안내주는 것 보다 공부를 훨 많이 하게되어 나쁘지 않은 것 같습니다.,도움이 돼요 0,5.0
8,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),4,이오이오,4,4,4,4,"고등학생 때 이후로 수학은 안 배운 문과생입니다...ㅎㅎ 일단 문과생 기준에서는 전혀 안 배운 수학 내용(행렬, 부분적분, 치환적분 등)을 기본적으로 깔고 가야 이해 가능한(또는 문제 풀이가 가능한) 부분들이 있었어요 근데 따로 찾아보면서 공부하면 못 따라갈 정도는 아닙니다! 교수님 강의력은 좋으신데 그에 비해 필기가 조금 가독성이 떨어지는 것 같기도 했지만... 녹화본 다 올려 주셔서 어려운 부분은 다시 돌려 보면 괜찮더라구요 챕터 끝날 때마다 10문제 내외의 과제 나옵니다 저는 가장 쉬운 초반 과제에서 실수로 조금 감점됐는데 ㅠㅠ 시험도 과제 난이도에서 크게 벗어나진 않았으니 과제 꼼꼼히 풀어 보는 거 추천드려요 수업 시간에 배우는 기본적 내용을 이해하고 있고 과제를 무리없이 풀 수만 있다면 시험도 수월하게 좋은 점수 얻으실 것 같습니다! 저는 과제 감점 약간 있었고 중간은 만점, 기말을 좀 못 본 것 같아서 걱정했는데 중간 기말 합해서 평쁠 50점 정도로 A+ 받았어요이 강의를 추천!",도움이 돼요 1,5.0
9,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,이상한,4,3,5,4,"교수님께서 항상 자세한 부분까지 설명을 해주셔서 이해하기가 쉽습니다.
과제 문제를 열심히 공부해두면 시험도 크게 어렵지 않습니다.
학점도 생각보다 잘 나왔습니다.이 강의를 추천!",도움이 돼요 0,5.0
10,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,doer,5,5,5,4,"현 과목 미적분을 아예 모르는 문돌이입니다. 다만, 조금 많이 힘들게...들을 수는 있는 것 같았습니다. 행렬 부분이 조금 걸리긴 했지만 크게 어렵지는 않았습니다. 또, 부분적분과 치환적분을 써서 계산을 해야할 때가 있었는데, 이를 하며 조금 고생했습니다. 하지만 교수님의 강의력이 워낙에 좋고, 시험도 과제 위주로 나오기 때문에 무척 추천드리고 싶습니다. 정말 열심히 공부하며 잘 들었고 중간은 평쁠 10 기말은 평균 나와서 A나왔습니다.이 강의를 추천!",도움이 돼요 0,5.0
11,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),4,파란파스타,3,3,5,4,"총평 : 너무 좋다 내가 그냥 부족할 뿐..22

*코로나 기간 비대면 수업에 대한 것임을 참고부탁드립니다

장점
1. 녹강으로 올려주심 :
출석 무조건 필요하지만 녹강으로 올려주셔서 공부하기가 너무 편했다.

2. 진짜 증명이나 설명 엄청나게 자세히 해준신다 :
사실 수학강의 같은 것을 들으면 공식을 설명해주실 때도 이쏙 시험에 나오기 조금 과한 부분들은 그냥 책 보고 하세요 이런 것이 아니라 정말 궁금할 수 있는 부분까지 모두 설명해주셔서 혼자 복습할 때도 다시 떠올리기도, 영상보면서 다시 복기하는 게 정말 도움이 많이 된다.

3. 시험은 진짜 쉽다 :
시험은 정말로 쉽고 숙제만 열심히 하고 숙제 답지만 열심히 공부하면 정말 쉽기는 하다. 물론 공부를 하고 좀 더 응용된 방식을 스스로 해봐야하지만 정말 며칠 공부 열심히 하면 잘 볼 수 있다. + 시험 시간도 매우 넉넉

단점
1. 시험이 쉬우니까 무조건 잘봐야 좋은 점수 :
시험 문제 수도 적고 쉬우니 조금만 삐끗하면 학점 못 얻는다.

2. 다른 단점은 별로 없다. 

전수 1 안듣고 들은 것인데 전혀 상관 없고 오히려 이것은 그냥 확통 과 +알파여서 전수 1보다 쉽다고들 합니다이 강의를 추천!",도움이 돼요 0,3.0
12,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,도토리,5,4,5,4,진도가 빠르고 양이 많지만 시험이 어렵지 않고 과제만 열심히 하면 무난하게 성적 잘 받을 수 있어요,도움이 돼요 0,3.0
13,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),4,찌오,3,3,3,3,"출석은 실시간으로 들어도 되고 콜라보레이트에 올라온 녹화 영상 봐도 됩니다. 전체의 2/3정도만 출석하면 출석 인정돼요.

중간은 대부분의 문제가 과제 변형으로 나와서 쉬웠고, 기말은 상대적으로 어려웠던거 같아요.
강의 자체는 교수님이 열정적으로 설명해주셔서 좋았습니다. 학점은 생각보다 정말 잘주십니당",도움이 돼요 0,5.0
14,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,해누,3,4,5,4,교수님이 매우 차근차근 설명해주셔서 크게 어려운 부분은 없었습니다. 중간 기말 전에 과제를 2번 3번 정도 내주셨는데 그렇게 부담이 될정도는 아니었습니다. 시험은 크게 9개 10개 문제정도로 제출해주셨습니다.,도움이 돼요 0,5.0
15,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,굿다이어리,4,4,5,5,"전산수학 재밌습니다~!
녹화 영상으로도 올려주셔서 복습하기에도 좋았어요
내용 이해가 잘 되게 잘 설명해주십니다.
뒤로 갈수록 난이도가 좀 있긴 했어요
시험은 어려웠습니다!
그래도 성적은 괜찮게 나왔던거 같아요이 강의를 추천!",도움이 돼요 0,5.0
16,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,jnuo,5,5,5,5,과제는 2주에 한 번 정도 10 문제 언저리로 나옵니다. 생각보다 공부량이 많지 않아서 좋았습니다.,도움이 돼요 0,3.0
17,21-2,COSE112,전산수학II,백승준,#화(7-8) 목(7-8),5,COS,3,3,4,4,"강의 내용에서 시험 문제를 내셔서 따로 찾아서 공부할 것은 없었고, 설명도 깔끔하게 잘 해주십니다 :)이 강의를 추천!",도움이 돼요 0,5.0
18,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),1,너두,3,5,1,1,"개인적으로 학교를 다니면서 들었던 모든 수업중 다섯손가락안에 들 정도로 별로인강의.

교수님은 착하신거같고 인간적으로도 좋으신분인건 맞음. 직접 찾아가서 대화해보면 알수있음.

그러나, 강의력이 너무 안좋으시고, 필기하실때 오타를 내는경우도 엄청 많으신데 

누가 따로 지적하지않으면 시험보러 들어가기전까지 알수가없음.

시험문제랑 과제의 괴리도 커서, 통계학과생이 아니면 공부방향을 잡기도 어려움.

그리고 결정적으로 뭐라고 말씀하시는지 알아듣기가 너무 어려움. 진짜 과목의 난이도와 별개로 영어를 못알아듣겠음.

그렇다고 학점을 잘주시는것도 아님. 중간,기말 모두 미디언보다 높았으나 B0를 받음. 

따라서 웬만하면 다른교수님의 강의를 들을것.  

절대 다른교수님의 강의를 들을것.",도움이 돼요 2,1.0
19,21-2,STAT401,다변량통계분석(영강),정환,#월(5) 수(5),3,ehtmaktm123,3,3,3,3,영강이였지만 중간중간 한국말로 설명해주셔서 이해하는데 어렵지 않았음. 시험 난이도도 적당했다고 생각하지만 시간이 부족했음 특히 기말. 과제는 수업시간에 R코드로 설명해주시는 부분 들으면서 풀면 어렵지 않았음,도움이 돼요 0,3.0
